Producto,Acción general,Clasificación final 5.6,Confianza 5.6
FITO ESENCIA RESCATE x 25 ML,Esencia Insomnio (si el problema principal es dormir),ACCIÓN GENERAL,0.7884866153420772
FITO ESENCIA RESCATE x 25 ML,FRASE DE VENTA: 'Primeros auxilios emocionales para ansiedad,ACCIÓN GENERAL,0.4065154699363843
FITO ESENCIA STRESS x 25 ML,Apoyo en manejo de estrés crónico,ACCIÓN GENERAL,0.8158197066342466
FITO ESENCIA STRESS x 25 ML,Apoyo en sobrecarga mental y sensación de 'no puedo con todo',ACCIÓN GENERAL,0.8690767000772229
FITO ESENCIA STRESS x 25 ML,Apoyo en reducción de pensamientos repetitivos,ACCIÓN GENERAL,1.0
FITO ESENCIA STRESS x 25 ML,Apoyo en regulación emocional en personas que asumen demasiadas responsabilidades,ACCIÓN GENERAL,0.7913972124240761
FITO ESENCIA STRESS x 25 ML,Apoyo en estabilidad emocional,ACCIÓN GENERAL,1.0
FITO ESENCIA STRESS x 25 ML,MODO DE ACCIÓN: armonización emocional para estrés sostenido (enfoque floral),ACCIÓN GENERAL,0.8913100948307663
FITO ESENCIA STRESS x 25 ML,Esencia Insomnio (si afecta el sueño),ACCIÓN GENERAL,0.798236903938111
FITO ESENCIA VICIOS x 25 ML,Apoyo en control emocional cuando la ansiedad se expresa como compulsión o hábito (comer por ansiedad,ACCIÓN GENERAL,0.6872951031889597
FITO ESENCIA VICIOS x 25 ML,impulsos repetitivos),ACCIÓN GENERAL,0.5902857201274954
FITO ESENCIA VICIOS x 25 ML,Apoyo en regulación de tensión e impaciencia,ACCIÓN GENERAL,0.7814515484559257
FITO ESENCIA VICIOS x 25 ML,Apoyo en estabilidad emocional en personas que cargan con demasiadas cosas y se sobreexigen,ACCIÓN GENERAL,0.7945291801241284
FITO ESENCIA VICIOS x 25 ML,MODO DE ACCIÓN: armonización emocional para ansiedad compensatoria (enfoque floral),ACCIÓN GENERAL,0.7674614353014527
FITO ESENCIA VICIOS x 25 ML,COMBINACIONES: Dunplus (ansiedad por comer/plan de peso),ACCIÓN GENERAL,0.6038581287477843
FITO ESENCIA VICIOS x 25 ML,Fibra Fitomedic’s (saciedad),ACCIÓN GENERAL,0.8254183639395059
FITO ESENCIA VICIOS x 25 ML,Ashwagandha (estrés crónico,ACCIÓN GENERAL,0.49830001535261825
FITO ESENCIA VICIOS x 25 ML,FRASE DE VENTA: 'Para controlar impulsos y ansiedad que se refleja en antojos o hábitos repetitivos.',ACCIÓN GENERAL,0.6628823724268202
FITO ESSENTIAL LIFE x 360 ML,Apoyo en fatiga física y mental,ACCIÓN GENERAL,0.8366480984128075
FITO ESSENTIAL LIFE x 360 ML,Apoyo en estados carenciales nutricionales,ACCIÓN GENERAL,1.0
FITO ESSENTIAL LIFE x 360 ML,Apoyo en cabello y uñas por déficit (biotina + zinc),ACCIÓN GENERAL,0.6154519419277681
FITO ESSENTIAL LIFE x 360 ML,NOTA: producto dulce,ACCIÓN GENERAL,1.0
FITO ESSENTIAL LIFE x 360 ML,Biotina (cabello),ACCIÓN GENERAL,0.8071152525946315
FITO ESSENTIAL LIFE x 360 ML,fatiga y debilidad.',ACCIÓN GENERAL,0.8317719863151032
FITO FIBRA FITOMEDIC'S X 500 GR,MODO DE ACCIÓN: aumenta volumen fecal y mejora tránsito (psyllium),ACCIÓN GENERAL,1.0
FITO FIBRA FITOMEDIC'S X 500 GR,efecto prebiótico y soporte de microbiota (fibra soluble),ACCIÓN GENERAL,0.6063342468446011
FITO FIBRA FITOMEDIC'S X 500 GR,apoyo en control de colesterol (captación de grasas por fibra soluble),ACCIÓN GENERAL,0.7791770296780217
FITO FIBRA FITOMEDIC'S X 500 GR,apoyo en control glucémico (disminuye picos de azúcar),ACCIÓN GENERAL,1.0
FITO FIBRA FITOMEDIC'S X 500 GR,apoyo en colon irritable cuando hay estreñimiento predominante,ACCIÓN GENERAL,0.7846652391330465
FITO FIBRA FITOMEDIC'S X 500 GR,COMBINACIONES: Dunplus (pérdida de peso + saciedad),ACCIÓN GENERAL,0.5982973651036164
FITO FIBRA FITOMEDIC'S X 500 GR,Herbalax (uso temporal en estreñimiento severo),ACCIÓN GENERAL,0.8114183269079193
FITO FIBRA FITOMEDIC'S X 500 GR,Antisaure (colon irritable/digestivo),ACCIÓN GENERAL,0.8133104459631766
FITO FIBRA FITOMEDIC'S X 500 GR,Biotics (opción premium para microbiota),ACCIÓN GENERAL,1.0
FITO FIBRA FITOMEDIC'S X 500 GR,saciedad y control metabólico.',ACCIÓN GENERAL,1.0
FITO FITOBRONK 240 ML,MODO DE ACCIÓN: miel con efecto emoliente y calmante en garganta,ACCIÓN GENERAL,0.7844500180680535
FITO FITOBRONK 240 ML,ajo y cebolla con apoyo antimicrobiano tradicional y expectorante,ACCIÓN GENERAL,0.7704720718715393
FITO FITOBRONK 240 ML,Apoyo en movilización de secreciones y expulsión de flema (coadyuvante),ACCIÓN GENERAL,0.6678098749498723
FITO FITOBRONK 240 ML,Bloq Tos (cuando hay tos seca/irritativa además de congestión),ACCIÓN GENERAL,0.8069546417086686
FITO GEL DE CALENDULA x 300 GR,MODO DE ACCIÓN: caléndula con apoyo antiinflamatorio,ACCIÓN GENERAL,0.8268179572352794
FITO GEL DE CALENDULA x 300 GR,regenerador y calmante,ACCIÓN GENERAL,1.0
FITO GEL DE CALENDULA x 300 GR,yantén como calmante tradicional,ACCIÓN GENERAL,0.6009813100505
FITO GEL DE CALENDULA x 300 GR,Gel frío con efecto refrescante que disminuye sensación de ardor e inflamación,ACCIÓN GENERAL,1.0
FITO GEL DE CALENDULA x 300 GR,Apoyo en regeneración cutánea en quemaduras leves y lesiones superficiales (coadyuvante),ACCIÓN GENERAL,0.8260497594573666
FITO GEL DE CALENDULA x 300 GR,Fibra (hemorroides),ACCIÓN GENERAL,0.869328351022808
FITO GEL DE CALENDULA x 300 GR,Omega 3 (inflamación sistémica),ACCIÓN GENERAL,0.5456957970080049
FITO GEL DE CALENDULA x 300 GR,Equinácea (alergias/piel reactiva),ACCIÓN GENERAL,0.5832416369884525
FITO GEL DE CALENDULA x 300 GR,FRASE DE VENTA: 'Alivio frío inmediato para inflamación,ACCIÓN GENERAL,0.5975429429571875
FITO GEL DE CALENDULA x 300 GR,quemaduras leves y piernas cansadas.',ACCIÓN GENERAL,0.7854675968187042
FITO GINKGO BILOBA x 100 CAP,MODO DE ACCIÓN: mejora microcirculación cerebral y periférica,ACCIÓN GENERAL,1.0
FITO GINKGO BILOBA x 100 CAP,acción antioxidante vascular (flavonoides),ACCIÓN GENERAL,0.6042660925134811
FITO GINKGO BILOBA x 100 CAP,apoyo en oxigenación cerebral,ACCIÓN GENERAL,0.7780801128155134
FITO GINKGO BILOBA x 100 CAP,apoyo en enfoque y memoria por mejor perfusión,ACCIÓN GENERAL,1.0
FITO GINKGO BILOBA x 100 CAP,coadyuvante en cefalea vascular,ACCIÓN GENERAL,0.5985139879936693
FITO GINKGO BILOBA x 100 CAP,apoyo indirecto en dolor articular leve asociado a componente circulatorio,ACCIÓN GENERAL,0.6093856746623756
FITO GINKGO BILOBA x 100 CAP,Omega 3 (salud cardiovascular),ACCIÓN GENERAL,0.46099546811551534
FITO GINKGO BILOBA x 100 CAP,Castaño de Indias (circulación piernas),ACCIÓN GENERAL,0.5310090525423086
FITO GINKGO BILOBA x 100 CAP,FRASE DE VENTA: 'Mejora la circulación cerebral y apoya memoria y concentración.',ACCIÓN GENERAL,0.8258313100342912
FITO GLUCONATO DE ZINC X 100 CAPSULAS,MODO DE ACCIÓN: mineral esencial para función del sistema inmune,ACCIÓN GENERAL,0.6047883428521543
FITO GLUCONATO DE ZINC X 100 CAPSULAS,apoyo en cicatrización y reparación de tejidos,ACCIÓN GENERAL,1.0
FITO GLUCONATO DE ZINC X 100 CAPSULAS,apoyo en piel (regulación de inflamación y sebo,ACCIÓN GENERAL,1.0
FITO GLUCONATO DE ZINC X 100 CAPSULAS,acné),ACCIÓN GENERAL,1.0
FITO GLUCONATO DE ZINC X 100 CAPSULAS,apoyo en salud capilar cuando hay déficit,ACCIÓN GENERAL,1.0
FITO GLUCONATO DE ZINC X 100 CAPSULAS,apoyo antioxidante,ACCIÓN GENERAL,0.833828248402283
FITO GLUCONATO DE ZINC X 100 CAPSULAS,apoyo en salud prostática (mineral clave en próstata),ACCIÓN GENERAL,0.3882198466235786
FITO GLUCONATO DE ZINC X 100 CAPSULAS,Prostenfit (salud masculina),ACCIÓN GENERAL,0.648997728280602
FITO GLUCONATO DE ZINC X 100 CAPSULAS,Biotina (cabello),ACCIÓN GENERAL,0.8071152525946315
FITO GLUCONATO DE ZINC X 100 CAPSULAS,Globxan o Essential Life (recuperación nutricional),ACCIÓN GENERAL,1.0
FITO GLUCONATO DE ZINC X 100 CAPSULAS,piel,ACCIÓN GENERAL,1.0
FITO GLUCONATO DE ZINC X 100 CAPSULAS,cicatrización y salud masculina.',ACCIÓN GENERAL,0.8007853447698587
FITO GREEN FOOD X 200 GR,apoyo metabólico (cromo para control de glucosa),ACCIÓN GENERAL,0.6134629416774471
FITO GREEN FOOD X 200 GR,potasio,ACCIÓN GENERAL,0.5758494541803398
FITO GREEN FOOD X 200 GR,sodio,ACCIÓN GENERAL,0.47843512364774643
FITO GREEN FOOD X 200 GR,calcio),ACCIÓN GENERAL,0.7734336907326136
FITO GREEN FOOD X 200 GR,COMBINACIONES: Fibra (detox + tránsito intestinal),ACCIÓN GENERAL,0.4415794301126792
FITO GREEN FOOD X 200 GR,Dunplus (pérdida de peso,ACCIÓN GENERAL,0.610047574218113
FITO GREEN FOOD X 200 GR,coadyuvante),ACCIÓN GENERAL,0.6132135164811889
FITO GREEN FOOD X 200 GR,Biotina (cabello si hay déficit),ACCIÓN GENERAL,0.6020939802138979
FITO GREEN FOOD X 200 GR,nutre,ACCIÓN GENERAL,1.0
FITO GREEN FOOD X 200 GR,energiza y fortalece defensas.',ACCIÓN GENERAL,0.8738145116311955
FITO HERBALAX x 60 CAP,MODO DE ACCIÓN: sen y cáscara sagrada como laxantes estimulantes que aumentan la motilidad intestinal,ACCIÓN GENERAL,0.6072529360164621
FITO HERBALAX x 60 CAP,boldo como apoyo digestivo y hepato-biliar en sensación de pesadez,ACCIÓN GENERAL,0.5206317201274827
FITO HERBALAX x 60 CAP,Uso recomendado de forma temporal como apoyo puntual en estreñimiento fuerte,ACCIÓN GENERAL,0.7831447670508139
FITO HERBALAX x 60 CAP,COMBINACIONES: Fibra Fitomedic’s (base para tránsito regular),ACCIÓN GENERAL,0.4381699796349418
FITO HERBALAX x 60 CAP,Biotics (opción premium para microbiota),ACCIÓN GENERAL,1.0
FITO ISOWOAN x 60 CAP,sudoración nocturna e irritabilidad,ACCIÓN GENERAL,0.6785419666790032
FITO ISOWOAN x 60 CAP,vitamina E con apoyo antioxidante y en piel/mucosas,ACCIÓN GENERAL,0.5847896513746023
FITO ISOWOAN x 60 CAP,soya/proteína vegetal como soporte nutricional,ACCIÓN GENERAL,0.6127155879704572
FITO ISOWOAN x 60 CAP,uñas,ACCIÓN GENERAL,0.8065787061048135
FITO ISOWOAN x 60 CAP,Dunplus (si hay aumento de peso metabólico),ACCIÓN GENERAL,1.0
FITO ISOWOAN x 60 CAP,Despigmentadora + Bloqueador (manchas hormonales),ACCIÓN GENERAL,0.6140826929944314
FITO KUROI TEA x 120 GR DEVORADOR DE GRASAS,apoyo en oxidación de grasas como coadyuvante dentro de un plan de control de peso,ACCIÓN GENERAL,0.8952812625379881
FITO KUROI TEA x 120 GR DEVORADOR DE GRASAS,útil en retención de líquidos,ACCIÓN GENERAL,1.0
FITO KUROI TEA x 120 GR DEVORADOR DE GRASAS,Puede apoyar digestión y sensación de pesadez,ACCIÓN GENERAL,0.8660895683013751
FITO KUROI TEA x 120 GR DEVORADOR DE GRASAS,Fibra (saciedad y tránsito),ACCIÓN GENERAL,0.6528827467936908
FITO KUROI TEA x 120 GR DEVORADOR DE GRASAS,FRASE DE VENTA: 'Activa tu metabolismo y ayuda a reducir retención de líquidos de forma natural.',ACCIÓN GENERAL,0.7925403070791874
FITO L-ARGININA + ZINC + MAGNESIO,MODO DE ACCIÓN: la L-arginina es precursora de óxido nítrico,ACCIÓN GENERAL,0.8075854542304339
FITO L-ARGININA + ZINC + MAGNESIO,promoviendo vasodilatación y mejora de la perfusión vascular,ACCIÓN GENERAL,1.0
FITO L-ARGININA + ZINC + MAGNESIO,favorece la entrega de oxígeno y nutrientes a músculos y tejidos,ACCIÓN GENERAL,0.6173343382262337
FITO L-ARGININA + ZINC + MAGNESIO,apoyo en rendimiento físico y recuperación muscular,ACCIÓN GENERAL,1.0
FITO L-ARGININA + ZINC + MAGNESIO,apoyo en salud sexual masculina y femenina por mejora de irrigación pélvica,ACCIÓN GENERAL,0.8109448983205847
FITO L-ARGININA + ZINC + MAGNESIO,Ginkgo (circulación cerebral),ACCIÓN GENERAL,0.7985466110897245
FITO L-ARGININA + ZINC + MAGNESIO,FRASE DE VENTA: 'Activa tu circulación y mejora la oxigenación de músculos y tejidos.',ACCIÓN GENERAL,0.6004856584921208
FITO LP-DIG MAX x 31 GR,sen y cáscara sagrada como laxantes estimulantes (aumentan motilidad intestinal),ACCIÓN GENERAL,0.8004500524864956
FITO LP-DIG MAX x 31 GR,Producto de uso puntual como purgante,ACCIÓN GENERAL,0.8047069559619172
FITO LP-DIG MAX x 31 GR,no como tratamiento de estreñimiento crónico,ACCIÓN GENERAL,0.7984293975550204
FITO LP-DIG MAX x 31 GR,Fibra (para tránsito regular posterior),ACCIÓN GENERAL,0.8264004276176758
FITO NUT KIDS x 360 ML,arginina y ornitina como apoyo metabólico,ACCIÓN GENERAL,0.8106098965699756
FITO NUT KIDS x 360 ML,recuperación y crecimiento,ACCIÓN GENERAL,0.5912909936417198
FITO NUT KIDS x 360 ML,alfalfa y zanahoria como soporte nutricional vegetal,ACCIÓN GENERAL,0.5841352790106158
FITO NUT KIDS x 360 ML,Apoyo en crecimiento físico,ACCIÓN GENERAL,1.0
FITO NUT KIDS x 360 ML,Biotics (infecciones recurrentes),ACCIÓN GENERAL,0.8018923340619344
FITO OMEGA 3 x 100 PERLAS,MODO DE ACCIÓN: EPA y DHA con acción antiinflamatoria sistémica (modulan citoquinas y mediadores inflamatorios),ACCIÓN GENERAL,0.9425070787685905
FITO OMEGA 3 x 100 PERLAS,apoyo en reducción de triglicéridos,ACCIÓN GENERAL,1.0
FITO OMEGA 3 x 100 PERLAS,soporte de membranas celulares y salud cardiovascular,ACCIÓN GENERAL,1.0
FITO OMEGA 3 x 100 PERLAS,apoyo en salud cerebral (DHA) y enfoque,ACCIÓN GENERAL,0.5399249027470248
FITO OMEGA 3 x 100 PERLAS,apoyo en articulaciones y recuperación deportiva por modulación de inflamación,ACCIÓN GENERAL,0.65188344992996
FITO OMEGA 3 x 100 PERLAS,vitamina E como antioxidante del aceite,ACCIÓN GENERAL,0.5912708671409714
FITO OMEGA 3 x 100 PERLAS,COMBINACIONES: Artrifit (dolor articular),ACCIÓN GENERAL,0.8074070273348286
FITO OMEGA 3 x 100 PERLAS,Green Food (metabolismo),ACCIÓN GENERAL,0.4051051294258369
FITO OMEGA 3 x 100 PERLAS,Prostenfit (salud masculina),ACCIÓN GENERAL,0.648997728280602
FITO OMEGA 3 x 100 PERLAS,Isowoan (transición hormonal),ACCIÓN GENERAL,0.3974086490647285
FITO OMEGA 3 x 100 PERLAS,proteger tu corazón y mejorar recuperación.',ACCIÓN GENERAL,1.0
FITO OSHE-CAL II x 400 GR,Producto muy útil en transición hormonal (perimenopausia/menopausia) y en prevención de fragilidad ósea,ACCIÓN GENERAL,0.5820045278945795
FITO OSHE-CAL II x 400 GR,Artrifit (dolor articular),ACCIÓN GENERAL,0.8001070010302903
FITO OSHE-CAL II x 400 GR,recuperación post fractura,ACCIÓN GENERAL,0.5982633157107642
FITO OSHE-CAL II x 400 GR,adulto mayor frágil,ACCIÓN GENERAL,0.6246579902395896
FITO OSHE-CAL II x 400 GR,convalecencia,ACCIÓN GENERAL,1.0
FITO OSHE-CAL II x 400 GR,salud dental,ACCIÓN GENERAL,0.7988078887654353
FITO PROPOLFIT x 240 ML,MODO DE ACCIÓN: propóleo con acción antimicrobiana y antiinflamatoria en vías respiratorias altas,ACCIÓN GENERAL,0.9170633116524477
FITO PROPOLFIT x 240 ML,miel con efecto emoliente y calmante de mucosa,ACCIÓN GENERAL,0.5999453602898057
FITO PROPOLFIT x 240 ML,Ideal en fase inicial de gripe y tos seca irritativa,ACCIÓN GENERAL,0.6089451701533677
FITO PROPOLFIT x 240 ML,Bloq Tos (tos persistente),ACCIÓN GENERAL,0.7994065777690696
FITO TOFIT x 240 ML,propóleo como apoyo antimicrobiano,ACCIÓN GENERAL,0.8543365438614973
FITO TOFIT x 240 ML,miel como calmante de mucosa,ACCIÓN GENERAL,0.7825490828065209
FITO TOFIT x 240 ML,polen como apoyo nutricional,ACCIÓN GENERAL,0.8030131787978365
FITO TOFIT x 240 ML,Más indicado en gripes con mucosidad y congestión nasal,ACCIÓN GENERAL,0.803497257463375
FITO TOFIT x 240 ML,Fitobronk (si hay bronquitis),ACCIÓN GENERAL,0.6046006141602234
FITO TOFIT x 240 ML,FRASE DE VENTA: 'Ayuda a descongestionar y reforzar defensas en gripa con mocos.',ACCIÓN GENERAL,0.5537716542025043
FITO SAUREMAX x 60 TABLETAS,MODO DE ACCIÓN: minerales biológicamente tratados con estructura porosa que pueden adsorber irritantes y apoyar el equilibrio del pH,ACCIÓN GENERAL,0.5356267874436027
FITO SAUREMAX x 60 TABLETAS,Se usa como apoyo en gastritis y en protocolos de Helicobacter pylori por su efecto de adsorción y soporte del ambiente gástrico,ACCIÓN GENERAL,0.5993252437260576
FITO SAUREMAX x 60 TABLETAS,COMBINACIONES: Sangre de Drago (regeneración de mucosa),ACCIÓN GENERAL,0.5930506359978065
FITO SAUREMAX x 60 TABLETAS,Antisaure (mucosa intestinal),ACCIÓN GENERAL,1.0
FITO SAUREMAX x 60 TABLETAS,Biotics (microbiota),ACCIÓN GENERAL,0.6038542855241543
FITO SANGRE DE DRAGO X 80 ML,MODO DE ACCIÓN: resina rica en compuestos fenólicos y proantocianidinas con acción astringente,ACCIÓN GENERAL,0.599120239863253
FITO SANGRE DE DRAGO X 80 ML,antiinflamatoria y regeneradora,ACCIÓN GENERAL,1.0
FITO SANGRE DE DRAGO X 80 ML,forma una película protectora sobre mucosas y piel,ACCIÓN GENERAL,0.7945593458947571
FITO SANGRE DE DRAGO X 80 ML,favoreciendo cicatrización,ACCIÓN GENERAL,1.0
FITO SANGRE DE DRAGO X 80 ML,apoyo antimicrobiano local,ACCIÓN GENERAL,0.6050327030304598
FITO SANGRE DE DRAGO X 80 ML,Útil en gastritis y úlcera como apoyo de regeneración de mucosa,ACCIÓN GENERAL,0.5999492129176784
FITO SANGRE DE DRAGO X 80 ML,y en diarrea por efecto astringente,ACCIÓN GENERAL,0.8155084569563108
FITO SANGRE DE DRAGO X 80 ML,Uso externo en heridas,ACCIÓN GENERAL,0.654746214708455
FITO SANGRE DE DRAGO X 80 ML,irritaciones,ACCIÓN GENERAL,0.79812005729823
FITO SANGRE DE DRAGO X 80 ML,acné y quemaduras leves,ACCIÓN GENERAL,1.0
FITO SANGRE DE DRAGO X 80 ML,Antisaure (mucosa),ACCIÓN GENERAL,0.8116459116761263
FITO SANGRE DE DRAGO X 80 ML,Biotics (microbiota),ACCIÓN GENERAL,0.6038542855241543
FITO SANGRE DE DRAGO X 80 ML,Gel de Caléndula (piel),ACCIÓN GENERAL,1.0
FITO SANGRE DE DRAGO X 80 ML,Equinacea (inmunidad),ACCIÓN GENERAL,0.5244513108218057
FITO VITAMINA D3 X 100 CAP,MODO DE ACCIÓN: vitamina D3 como modulador inmunológico y soporte de defensas,ACCIÓN GENERAL,0.38566082374033533
FITO VITAMINA D3 X 100 CAP,apoyo en función muscular y prevención de debilidad,ACCIÓN GENERAL,0.8153635196946794
FITO VITAMINA D3 X 100 CAP,Útil en personas con poca exposición solar,ACCIÓN GENERAL,0.53479015022436
FITO VITAMINA D3 X 100 CAP,perimenopausia/menopausia y defensas bajas,ACCIÓN GENERAL,0.6159419524757496
FITO VITAMINA D3 X 100 CAP,Omega 3 (inflamación),ACCIÓN GENERAL,0.521961585338279
FITO VITAMINA D3 X 100 CAP,huesos y energía.',ACCIÓN GENERAL,0.8106553826098847
FITO VITAMINA E + SELENIO X 120 SOFGETLS,Útil como apoyo en procesos inflamatorios y hormonales donde el estrés oxidativo acelera síntomas (piel,ACCIÓN GENERAL,0.8050684487413723
FITO VITAMINA E + SELENIO X 120 SOFGETLS,En miomas se posiciona como coadyuvante antioxidante (no como reductor directo de tamaño),ACCIÓN GENERAL,0.6015928691279964
FITO VITAMINA E + SELENIO X 120 SOFGETLS,COMBINACIONES: Omega 3 (inflamación),ACCIÓN GENERAL,0.5101218999208128
FITO VITAMINA E + SELENIO X 120 SOFGETLS,próstata y salud hormonal.',ACCIÓN GENERAL,0.7595529930056905
FITO VALERIANA x 80 ML,MODO DE ACCIÓN: la valeriana modula neurotransmisores inhibitorios (principalmente vía GABA) favoreciendo relajación del sistema nervioso,ACCIÓN GENERAL,0.598106287887957
FITO VALERIANA x 80 ML,disminuye hiperalerta y tensión,ACCIÓN GENERAL,0.7942426287607152
FITO VALERIANA x 80 ML,facilitando conciliación del sueño y reduciendo ansiedad,ACCIÓN GENERAL,0.40050226717324305
FITO VALERIANA x 80 ML,Útil en insomnio por estrés,ACCIÓN GENERAL,0.5263591718653813
FITO VALERIANA x 80 ML,irritabilidad y síntomas somáticos de ansiedad (tensión,ACCIÓN GENERAL,0.5171180789432979
FITO VALERIANA x 80 ML,palpitaciones,ACCIÓN GENERAL,0.6045530768696554
FITO VALERIANA x 80 ML,colon irritable),ACCIÓN GENERAL,0.6237278237778991
FITO VALERIANA x 80 ML,Esencia Insomnio/Stress (emocional),ACCIÓN GENERAL,0.3871563055077646
FITO TE VERDE x 60 GR (30 BOLSAS),apoya termogénesis leve y oxidación de grasas,ACCIÓN GENERAL,1.0
FITO TE VERDE x 60 GR (30 BOLSAS),favorece metabolismo hepático de lípidos y puede contribuir a mejorar perfil lipídico,ACCIÓN GENERAL,0.6042113259209935
FITO TE VERDE x 60 GR (30 BOLSAS),efecto diurético suave que ayuda a desinflamar por líquidos,ACCIÓN GENERAL,1.0
FITO TE VERDE x 60 GR (30 BOLSAS),COMBINACIONES: Dunplus (control de peso),ACCIÓN GENERAL,0.6095308845521886
FITO TE VERDE x 60 GR (30 BOLSAS),Fibra (saciedad/tránsito),ACCIÓN GENERAL,0.8273209552229694
FITO TE VERDE x 60 GR (30 BOLSAS),Omega 3 (inflamación),ACCIÓN GENERAL,0.521961585338279
FITO TE VERDE x 60 GR (30 BOLSAS),ADVERTENCIAS: puede irritar gastritis en algunas personas y no es ideal en insomnio o ansiedad marcada,ACCIÓN GENERAL,0.587508020380296
FITO MELATONINA X 60 / 120 CAP,favorece conciliación del sueño y mejora calidad del descanso profundo,ACCIÓN GENERAL,0.5345905643960289
FITO MELATONINA X 60 / 120 CAP,Especialmente útil en adultos mayores donde la producción natural disminuye con la edad,ACCIÓN GENERAL,1.0
FITO MELATONINA X 60 / 120 CAP,turnos laborales o cambios hormonales,ACCIÓN GENERAL,0.39187541264603865
FITO MELATONINA X 60 / 120 CAP,Esencia Insomnio (emocional),ACCIÓN GENERAL,0.5841513167909249
FITO MELATONINA X 60 / 120 CAP,Ashwagandha (estrés crónico),ACCIÓN GENERAL,0.5243559346806292
MELENA DE LEON x 120 CAP,favoreciendo regeneración y protección neuronal,ACCIÓN GENERAL,0.8034925426709969
MELENA DE LEON x 120 CAP,apoya memoria,ACCIÓN GENERAL,1.0
MELENA DE LEON x 120 CAP,concentración y plasticidad cerebral,ACCIÓN GENERAL,1.0
MELENA DE LEON x 120 CAP,efecto modulador leve en ansiedad y estrés,ACCIÓN GENERAL,0.7715566441313779
MELENA DE LEON x 120 CAP,COMBINACIONES: Breinap (circulación cerebral y rendimiento mental),ACCIÓN GENERAL,0.6227212487500186
MELENA DE LEON x 120 CAP,Breinap (memoria),ACCIÓN GENERAL,0.6944689408717827
MELENA DE LEON x 120 CAP,Ashwagandha (estrés crónico),ACCIÓN GENERAL,0.5243559346806292
ASHWAGANDHA x 90 CAPS,ayudando a regular niveles elevados de cortisol,ACCIÓN GENERAL,1.0
ASHWAGANDHA x 90 CAPS,mejora resiliencia al estrés,ACCIÓN GENERAL,0.8034880204071826
ASHWAGANDHA x 90 CAPS,favorece estabilidad emocional y contribuye a mejorar calidad del sueño de forma indirecta,ACCIÓN GENERAL,0.535194615034929
ASHWAGANDHA x 90 CAPS,apoya rendimiento físico y mental y puede influir positivamente en función tiroidea subclínica,ACCIÓN GENERAL,1.0
ASHWAGANDHA x 90 CAPS,Melatonina o Valeriana (insomnio),ACCIÓN GENERAL,0.39760980465250223
ASHWAGANDHA x 90 CAPS,Cromo o Dunplus (ansiedad por dulce),ACCIÓN GENERAL,0.40052985157404125
ASHWAGANDHA x 90 CAPS,L-Arginina (estrés y perfusión vascular),ACCIÓN GENERAL,0.7872785934833343
ASHWAGANDHA x 90 CAPS,Melena de León (estrés + cognición),ACCIÓN GENERAL,0.40038447701889973
RESVERATROL x 180 CAPS,reduce estrés oxidativo y modula inflamación sistémica,ACCIÓN GENERAL,0.8243426305242211
RESVERATROL x 180 CAPS,mejora función endotelial y protege frente a oxidación del LDL,ACCIÓN GENERAL,0.6257580174423846
RESVERATROL x 180 CAPS,apoya sensibilidad a insulina y metabolismo energético,ACCIÓN GENERAL,0.8083245578104117
RESVERATROL x 180 CAPS,En piel y articulaciones reduce degradación de colágeno al modular enzimas inflamatorias,ACCIÓN GENERAL,0.36729793481280176
RESVERATROL x 180 CAPS,actuando como protector estructural,ACCIÓN GENERAL,0.7963697884219321
RESVERATROL x 180 CAPS,COMBINACIONES: Omega 3 (inflamación y triglicéridos),ACCIÓN GENERAL,0.5367394533650519
RESVERATROL x 180 CAPS,Cardomariano (hígado),ACCIÓN GENERAL,0.34131749313196713
RESVERATROL x 180 CAPS,metabolismo y envejecimiento saludable.',ACCIÓN GENERAL,0.6027589870608429
OREGANO OIL x 150 SOFTGELS,MODO DE ACCIÓN: acción antifúngica y antibacteriana potente al alterar membrana celular de hongos y bacterias,ACCIÓN GENERAL,1.0
OREGANO OIL x 150 SOFTGELS,modula citocinas inflamatorias reduciendo inflamación sistémica,ACCIÓN GENERAL,1.0
OREGANO OIL x 150 SOFTGELS,En acné actúa indirectamente reduciendo inflamación intestinal y carga bacteriana,ACCIÓN GENERAL,1.0
OREGANO OIL x 150 SOFTGELS,Omega 3 (inflamación),ACCIÓN GENERAL,0.5219616132523004
OREGANO OIL x 150 SOFTGELS,Amedanil (parásitos),ACCIÓN GENERAL,0.6087610919559268
OREGANO OIL x 150 SOFTGELS,puede irritar mucosa gástrica si se usa prolongadamente,ACCIÓN GENERAL,0.616240460734134
OREGANO OIL x 150 SOFTGELS,FRASE DE VENTA: 'Acción natural potente contra hongos,ACCIÓN GENERAL,1.0
OREGANO OIL x 150 SOFTGELS,bacterias e inflamación desde la raíz.',ACCIÓN GENERAL,1.0
FITO VITAMINA E COSMETICA,MODO DE ACCIÓN: antioxidante liposoluble que protege membranas celulares del daño oxidativo,ACCIÓN GENERAL,0.8080175450912583
FITO VITAMINA E COSMETICA,favorece regeneración cutánea y mejora elasticidad de la piel,ACCIÓN GENERAL,1.0
FITO VITAMINA E COSMETICA,apoya recuperación en piel seca o agredida,ACCIÓN GENERAL,1.0
FITO VITAMINA E COSMETICA,Bloqueador solar (prevención manchas),ACCIÓN GENERAL,0.6045211543502845
